,,,#,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Unnamed: 15,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
61.0,Lebanon,1210847,,10638 ,,1087587.0,,112622.0,186.0,179142.0,1574.0,4795578.0,709495.0,6759140 ,Asia,66351,,,16662.0,,,,,
62.0,Tunisia,1143862,,29234 ,,,,,99.0,94635.0,2419.0,4918504.0,406922.0,12087093 ,Africa,114132,,,1381.0,,,,,
63.0,Slovenia,1131747,381.0,6787 ,,1106829.0,440.0,18131.0,16.0,544225.0,3264.0,2724749.0,1310254.0,2079558 ,Europe,23061,183,,8719.0,,,,,
64.0,Cuba,1110713,,8530 ,,1101937.0,,246.0,23.0,98192.0,754.0,14064773.0,1243392.0,11311615 ,North America,1013261,,,22.0,,,,,
65.0,Guatemala,1104909,,19552 ,,1079645.0,,5712.0,5.0,59292.0,1049.0,5677725.0,304679.0,18635135 ,North America,179533,,,307.0,,,,,
66.0,Bolivia,1104102,213.0,22209 ,1.0,1034948.0,1071.0,46945.0,220.0,91865.0,1848.0,2705422.0,225101.0,12018724 ,South America,115414,18,0.08,3906.0,,,,,
67.0,Costa Rica,1058467,,8867 ,,860711.0,,188889.0,52.0,203743.0,1707.0,4659757.0,896952.0,5195101 ,North America,55861,,,36359.0,,,,,
68.0,UAE,1017543,398.0,2341 ,,997100.0,473.0,18102.0,,100252.0,231.0,185321303.0,18258551.0,10149836 ,Asia,1043360,39,,1783.0,,,,,
69.0,Nepal,997990,122.0,12007 ,,983539.0,206.0,2444.0,,32965.0,397.0,5898186.0,194823.0,30274655 ,Asia,3025215,4,,81.0,,,,,
70.0,Ecuador,997224,,35861 ,,952722.0,1013.0,8641.0,759.0,54718.0,1968.0,3082403.0,169133.0,18224725 ,South America,185086,,,474.0,,,,,
71.0,Belarus,994037,,7118 ,,985592.0,,1327.0,,105272.0,754.0,13646641.0,1445224.0,9442579 ,Europe,913271,,,141.0,,,,,
72.0,Mongolia,979985,,2179 ,,971093.0,,6713.0,192.0,288833.0,642.0,4030048.0,1187784.0,3392913 ,Asia,315571,,,1979.0,,,,,
73.0,Uruguay,979160,,7445 ,,970116.0,,1599.0,18.0,279771.0,2127.0,6114822.0,1747163.0,3499858 ,South America,44701,,,457.0,,,,,
74.0,Panama,978181,,8470 ,,962280.0,,7431.0,16.0,219213.0,1898.0,6940020.0,1555278.0,4462239 ,North America,55271,,,1665.0,,,,,
75.0,Latvia,902095,1441.0,5950 ,1.0,883736.0,,12409.0,6.0,490007.0,3232.0,7548192.0,4100088.0,1840983 ,Europe,23090,783,0.5,6740.0,,,,,
76.0,Azerbaijan,815047,,9822 ,,801707.0,,3518.0,,78843.0,950.0,7166533.0,693251.0,10337570 ,Asia,1310521,,,340.0,,,,,
77.0,Saudi Arabia,813764,,9303 ,,800914.0,,3547.0,41.0,22610.0,258.0,44140420.0,1226428.0,35991029 ,Asia,4438691,,,99.0,,,,,
78.0,Paraguay,715569,,19494 ,,694192.0,,1883.0,7.0,97719.0,2662.0,2657506.0,362911.0,7322751 ,South America,103763,,,257.0,,,,,
79.0,Bahrain,672447,,1515 ,,669415.0,,1517.0,2.0,367453.0,828.0,10290014.0,5622885.0,1830024 ,Asia,312080,,,829.0,,,,,
80.0,Sri Lanka,670176,,16711 ,,652967.0,,498.0,,31015.0,773.0,6486117.0,300170.0,21608118 ,Asia,3212933,,,23.0,,,,,
81.0,Kuwait,657395,,2563 ,,654470.0,,362.0,3.0,149147.0,581.0,8340400.0,1892236.0,4407695 ,Asia,717201,,,82.0,,,,,
82.0,Dominican Republic,640064,,4384 ,,634640.0,,1040.0,19.0,57746.0,396.0,3631917.0,327670.0,11084070 ,North America,1725283,,,94.0,,,,,
83.0,Palestine,620371,259.0,5402 ,2.0,606702.0,2667.0,8267.0,17.0,115764.0,1008.0,3078533.0,574470.0,5358912 ,Asia,99922,48,0.4,1543.0,,,,,
84.0,Myanmar,615559,,19440 ,,593794.0,,2325.0,,11151.0,352.0,8777633.0,159011.0,55201564 ,Asia,9028406,,,42.0,,,,,
85.0,Estonia,597759,,2651 ,,524990.0,,70118.0,4.0,449960.0,1996.0,3504375.0,2637901.0,1328471 ,Europe,25010,,,52781.0,,,,,
86.0,Cyprus,578030,,1172 ,,571430.0,304.0,5428.0,60.0,471308.0,956.0,9572310.0,7804969.0,1226438 ,Asia,210460,,,4426.0,,,,,
87.0,Moldova,575052,,11755 ,,504142.0,,59155.0,49.0,143275.0,2929.0,3216305.0,801347.0,4013622 ,Europe,73411,,,14739.0,,,,,
88.0,Venezuela,542952,,5801 ,,535325.0,,1826.0,36.0,19212.0,205.0,3359014.0,118856.0,28261141 ,South America,5248728,,,65.0,,,,,
89.0,Egypt,515645,,24613 ,,442182.0,,48850.0,122.0,4841.0,231.0,3693367.0,34671.0,106525198 ,Africa,207432829,,,459.0,,,,,
90.0,Libya,506849,,6437 ,,500274.0,,138.0,101.0,71648.0,910.0,2480052.0,350579.0,7074154 ,Africa,1410993,,,20.0,,,,,
91.0,Ethiopia,493237,,7572 ,,471664.0,,14001.0,8.0,4071.0,63.0,5213035.0,43031.0,121146961 ,Africa,2461599923,,,116.0,,,,,
92.0,Réunion,463155,,874 ,,418572.0,,43709.0,10.0,509419.0,961.0,1603660.0,1763849.0,909182 ,Africa,210401,,,48075.0,,,,,
93.0,Honduras,454779,,10989 ,,,,,105.0,44383.0,1072.0,1509607.0,147327.0,10246632 ,North America,239327,,,30375.0,,,,,
94.0,Armenia,434398,,8655 ,,421316.0,,4427.0,,146003.0,2909.0,3184464.0,1070313.0,2975263 ,Asia,73441,,,1488.0,,,,,
95.0,Qatar,432202,683.0,681 ,,426977.0,577.0,4544.0,2.0,153929.0,243.0,3884315.0,1383399.0,2807805 ,Asia,641231,243,,1618.0,,,,,
96.0,Oman,397846,,4260 ,,384669.0,,8917.0,2.0,73831.0,791.0,25000000.0,4639393.0,5388636 ,Asia,1412650,,,1655.0,,,,,
97.0,Bosnia and Herzegovina,396273,,16062 ,,374878.0,,5333.0,,122437.0,4963.0,1845739.0,570279.0,3236556 ,Europe,82022,,,1648.0,,,,,
98.0,North Macedonia,340695,,9495 ,,329741.0,,1459.0,,163545.0,4558.0,2118984.0,1017183.0,2083188 ,Europe,62191,,,700.0,,,,,
99.0,Kenya,338235,,5674 ,,332429.0,,132.0,1.0,6003.0,101.0,3860467.0,68517.0,56343084 ,Africa,167993015,,,2.0,,,,,
100.0,Zambia,333074,,4017 ,,328699.0,,358.0,1.0,17079.0,206.0,3705757.0,190020.0,19501954 ,Africa,5948555,,,18.0,,,,,
101.0,Albania,330193,,3582 ,,322849.0,,3762.0,,115011.0,1248.0,1941032.0,676087.0,2870979 ,Europe,98021,,,1310.0,,,,,
102.0,Botswana,325864,,2778 ,,322955.0,,131.0,1.0,132750.0,1132.0,2026898.0,825713.0,2454724 ,Africa,88841,,,53.0,,,,,
103.0,Luxembourg,288658,,1123 ,,283668.0,,3867.0,,445399.0,1733.0,4402293.0,6792729.0,648089 ,Europe,25770,,,5967.0,,,,,
104.0,Montenegro,276337,,2778 ,,271205.0,,2354.0,6.0,439860.0,4422.0,2601318.0,4140657.0,628238 ,Europe,22260,,,3747.0,,,,,
105.0,Algeria,270443,,6879 ,,182067.0,,81497.0,6.0,5935.0,151.0,230861.0,5066.0,45570311 ,Africa,1696625197,,,1788.0,,,,,
106.0,Nigeria,263867,,3148  ,,257453.0,,3266.0,11.0,1215.0,14.0,5441162.0,25048.0,217233620 ,Africa,8236900740,,,15.0,,,,,
107.0,Zimbabwe,256763,,5596 ,,251022.0,,145.0,12.0,16746.0,365.0,2484638.0,162049.0,15332677 ,Africa,6027406,,,9.0,,,,,
108.0,Uzbekistan,243830,,1637 ,,241486.0,,707.0,23.0,7063.0,47.0,1377915.0,39914.0,34522334 ,Asia,1422108925,,,20.0,,,,,
109.0,Mozambique,230129,,2221 ,,227769.0,,139.0,11.0,6941.0,67.0,1371127.0,41353.0,33156930 ,Africa,1441492924,,,4.0,,,,,
110.0,Brunei ,220245,,225 ,,219561.0,,459.0,3.0,493189.0,504.0,717784.0,1607316.0,446573 ,Asia,219851,,,1028.0,,,,,
111.0,Martinique,218764,,1035 ,,,,,8.0,583941.0,2763.0,828928.0,2212634.0,374634 ,North America,23620,,,580900.0,,,,,
112.0,Laos,214455,48.0,757 ,,,,,,28576.0,101.0,1233207.0,164323.0,7504778 ,Asia,3599146,6,,27454.0,,,,,
113.0,Kyrgyzstan,205716,,2991 ,,196406.0,,6319.0,131.0,30441.0,443.0,1907195.0,282217.0,6757901 ,Asia,3322594,,,935.0,,,,,
114.0,Iceland,204717,,179 ,,,,,2.0,591582.0,517.0,1993053.0,5759436.0,346050 ,Europe,219330,,,372354.0,,,,,
115.0,El Salvador,201785,,4224 ,,179266.0,,18295.0,8.0,30773.0,644.0,2610114.0,398051.0,6557241 ,North America,3215523,,,2790.0,,,,,
116.0,Afghanistan,194355,121.0,7783 ,1.0,172407.0,229.0,14165.0,1124.0,4760.0,191.0,1074381.0,26312.0,40831974 ,Asia,210524638,3,0.02,347.0,,,,,
117.0,Guadeloupe,191997,,986 ,,,,,19.0,479666.0,2463.0,938039.0,2343504.0,400272 ,North America,24060,,,471582.0,,,,,
118.0,Maldives,184856,,308 ,,163687.0,,20861.0,25.0,329385.0,549.0,2213831.0,3944711.0,561215 ,Asia,318220,,,37171.0,,,,,
119.0,Trinidad and Tobago,179886,,4158 ,,170205.0,,5523.0,18.0,127640.0,2950.0,822314.0,583481.0,1409324 ,North America,83392,,,3919.0,,,,,
120.0,Uganda,169396,,3628 ,,100431.0,,65337.0,3.0,3466.0,74.0,3012408.0,61631.0,48877970 ,Africa,2891347216,,,1337.0,,,,,
121.0,Namibia,169253,,4065 ,,164813.0,,375.0,,64091.0,1539.0,1062663.0,402399.0,2640816 ,Africa,166502,,,142.0,,,,,
122.0,Ghana,168580,,1459 ,,167080.0,,41.0,2.0,5190.0,45.0,2496486.0,76859.0,32481277 ,Africa,1932226313,,,1.0,,,,,
123.0,Jamaica,150180,,3267 ,,97012.0,,49901.0,,50241.0,1093.0,1172301.0,392176.0,2989220 ,North America,209153,,,16694.0,,,,,
124.0,Cambodia,137668,7.0,3056 ,,134507.0,11.0,105.0,,7994.0,177.0,3051743.0,177207.0,17221322 ,Asia,12556356,0.4,,6.0,,,,,
125.0,Rwanda,132453,,1466 ,,130901.0,,86.0,,9704.0,107.0,5767196.0,422524.0,13649384 ,Africa,10393112,,,6.0,,,,,
126.0,Cameroon,121652,,1935 ,,118616.0,,1101.0,13.0,4348.0,69.0,1751774.0,62607.0,27980689 ,Africa,2301446016,,,39.0,,,,,
127.0,Malta,114151,16.0,802 ,,112855.0,23.0,494.0,4.0,257042.0,1806.0,2046915.0,4609183.0,444095 ,Europe,45540,36,,1112.0,,,,,
128.0,Angola,102636,,1917 ,,100437.0,,282.0,,2925.0,55.0,1499795.0,42746.0,35086408 ,Africa,3421830323,,,8.0,,,,,
129.0,Barbados,101451,,544 ,,100090.0,,817.0,,352090.0,1888.0,756806.0,2626531.0,288139 ,North America,35300,,,2835.0,,,,,
130.0,French Guiana,93735,,408 ,,11254.0,,82073.0,3.0,297106.0,1293.0,650106.0,2060604.0,315493 ,South America,37730,,,260142.0,,,,,
131.0,DRC,92711,,1405 ,,83504.0,,7802.0,,971.0,15.0,846704.0,8868.0,95474185 ,Africa,103067953113,,,82.0,,,,,
132.0,Channel Islands,89657,,198 ,,89125.0,,334.0,,505560.0,1116.0,1252808.0,7064362.0,177342 ,Europe,28960,,,1883.0,,,,,
133.0,Senegal,88102,,1968 ,,85985.0,,149.0,,4977.0,111.0,1146543.0,64769.0,17702046 ,Africa,201899515,,,8.0,,,,,
134.0,Malawi,87901,,2678 ,,84928.0,,295.0,67.0,4351.0,133.0,610953.0,30240.0,20203334 ,Africa,230754433,,,15.0,,,,,
135.0,Ivory Coast,86821,,819 ,,85941.0,,61.0,,3123.0,29.0,1613343.0,58041.0,27796627 ,Africa,3203394017,,,2.0,,,,,
136.0,Suriname,81039,,1383 ,,49614.0,,30042.0,,135507.0,2313.0,238852.0,399390.0,598042 ,South America,74323,,,50234.0,,,,,
137.0,French Polynesia,76484,,649 ,,,,,7.0,268900.0,2282.0,,,284433 ,Australia/Oceania,4438,,,148840.0,,,,,
138.0,New Caledonia,73798,,314 ,,73032.0,,452.0,9.0,253205.0,1077.0,98964.0,339550.0,291456 ,Australia/Oceania,49283,,,1551.0,,,,,
139.0,Eswatini,73368,,1422 ,,71923.0,,23.0,11.0,61849.0,1199.0,1043970.0,880065.0,1186242 ,Africa,168341,,,19.0,,,,,
140.0,Guyana,71100,,1279 ,,69615.0,,206.0,,89458.0,1609.0,689134.0,867064.0,794790 ,South America,116211,,,259.0,,,,,
141.0,Belize,68350,,680 ,,67542.0,,128.0,6.0,165376.0,1645.0,576016.0,1393696.0,413301 ,North America,66081,,,310.0,,,,,
142.0,Fiji,68177,,878 ,,66192.0,,1107.0,,74875.0,964.0,652851.0,716988.0,910546 ,Australia/Oceania,1310371,,,1216.0,,,,,
143.0,Madagascar,66640,,1410 ,,65196.0,,34.0,2.0,2279.0,48.0,511408.0,17492.0,29236796 ,Africa,4392073557,,,1.0,,,,,
144.0,Sudan,63228,,4961 ,,,,,,1372.0,108.0,562941.0,12219.0,46072311 ,Africa,729928782,,,389.0,,,,,
145.0,Mauritania,62771,,993 ,,61747.0,,31.0,,12771.0,202.0,951667.0,193623.0,4915043 ,Africa,7849505,,,6.0,,,,,
146.0,Cabo Verde,62328,,410 ,,61843.0,,75.0,23.0,109521.0,720.0,401622.0,705718.0,569097 ,Africa,913881,,,132.0,,,,,
147.0,Bhutan,61076,,21 ,,60961.0,,94.0,,77306.0,27.0,2303734.0,2915923.0,790053 ,Asia,13376220,,,119.0,,,,,
148.0,Syria,57085,,3163 ,,53567.0,,355.0,,3098.0,172.0,146269.0,7939.0,18423779 ,Asia,3235825126,,,19.0,,,,,
149.0,Burundi,49287,,38 ,,47946.0,,1303.0,,3893.0,3.0,345742.0,27310.0,12659812 ,Africa,25733315337,,,103.0,,,,,
150.0,Gabon,48649,,306 ,,48067.0,,276.0,,20792.0,131.0,1614329.0,689952.0,2339770 ,Africa,4876461,,,118.0,,,,,
151.0,Seychelles,46081,,169 ,,45777.0,,135.0,,462340.0,1696.0,,,99669 ,Africa,2590,,,1354.0,,,,,
152.0,Andorra,46027,,154 ,,45791.0,,82.0,14.0,593644.0,1986.0,249838.0,3222344.0,77533 ,Europe,25030,,,1058.0,,,,,
153.0,Curaçao,45127,,282 ,,44720.0,,125.0,3.0,272590.0,1703.0,496693.0,3000278.0,165549 ,North America,45870,,,755.0,,,,,
154.0,Papua New Guinea,44887,,664 ,,43982.0,,241.0,7.0,4819.0,71.0,249149.0,26747.0,9315011 ,Australia/Oceania,2081402937,,,26.0,,,,,
155.0,Aruba,42792,,226 ,,42340.0,,226.0,2.0,397142.0,2097.0,177885.0,1650905.0,107750 ,North America,34771,,,2097.0,,,,,
156.0,Mauritius,40299,,1022 ,,38573.0,,704.0,,31574.0,801.0,358675.0,281017.0,1276348 ,Africa,3212494,,,552.0,,,,,
157.0,Mayotte,40095,,187 ,,,,,,139651.0,651.0,176919.0,616211.0,287108 ,Africa,715352,,,128676.0,,,,,
158.0,Tanzania,38712,,841 ,,,,,7.0,610.0,13.0,,,63428860 ,Africa,163875421,,,594.0,,,,,
159.0,Togo,38546,,283 ,,38058.0,,205.0,,4431.0,33.0,786762.0,90432.0,8700031 ,Africa,2263074211,,,24.0,,,,,
160.0,Isle of Man,38008,,116 ,,,,,,441902.0,1349.0,150753.0,1752738.0,86010 ,Europe,27411,,,129032.0,,,,,
161.0,Guinea,37470,,447 ,,36763.0,,260.0,8.0,2694.0,32.0,660107.0,47468.0,13906312 ,Africa,3713111021,,,19.0,,,,,
162.0,Bahamas,37081,,823 ,,35897.0,,361.0,1.0,92379.0,2050.0,248846.0,619944.0,401401 ,North America,114882,,,899.0,,,,,
163.0,Faeroe Islands,34658,,28 ,,,,,5.0,703487.0,568.0,778000.0,15791824.0,49266 ,Europe,117600,,,546767.0,,,,,
164.0,Lesotho,34206,,704 ,,25740.0,,7762.0,,15697.0,323.0,431221.0,197888.0,2179114 ,Africa,6430955,,,3562.0,,,,,
165.0,Haiti,33468,,841 ,,30819.0,,1808.0,,2859.0,72.0,132422.0,11314.0,11704309 ,North America,3501391788,,,154.0,,,,,
